DeathStateFileNumber,dDateOfDeath,cDecedentFirstName,cDecedentLastName,cDecedentMaidenLastName,DOB,SSN,BirthStateFileNumber,cMothersSSN,BirthChildDateOfBirth,BirthMatchType,ICDCode1,ICDCode2,cCauseOfDeathA,cCauseOfDeathB,SignificantConditions,Race,County
2025GA000617,01/04/2025,David,Thomas,Thomas,1956-12-10,199-18-7845,,,," ",C34,,Cancer,,,Black,Bartow
2025GA000692,01/04/2025,Emily,Taylor,Anderson,1945-11-28,800-74-9406,B2025GA007742,800-74-9406,01/04/2025,B,,,,,,White,Hall
2025GA000734,01/04/2025,Patricia,Johnson,Anderson,1954-06-22,745-69-8692,B2025GA007784,745-69-8692,01/04/2025,B,,,,,,Asian,Clayton
2025GA000742,01/05/2025,Mary,Williams,Davis,1954-01-01,262-46-6296,B2025GA007792,262-46-6296,01/05/2025,B,,,,,,Black,Effingham
2025GA000696,01/10/2025,Amanda,Davis,Jones,1967-01-15,806-56-3098,B2025GA007746,806-56-3098,01/10/2025,B,,,,,,Black,Henry
2025GA000659,01/14/2025,Elizabeth,Smith,Jones,1954-08-10,451-80-9039,B2025GA007709,451-80-9039,01/14/2025,B,,,,,,Other,Carroll
2025GA000652,01/15/2025,Linda,Jones,Johnson,1995-11-01,498-55-2656,B2025GA007702,498-55-2656,01/15/2025,B,,,,,,Black,Forsyth
2025GA000746,01/16/2025,Susan,Jones,Jones,1986-11-26,661-38-5362,B2025GA007796,661-38-5362,01/16/2025,B,,,,,,Other,Dougherty
2025GA000655,01/19/2025,Emily,Moore,Wilson,1998-05-12,667-29-4929,B2025GA007705,667-29-4929,01/19/2025,B,,,,,,Black,Cobb
2025GA000579,01/22/2025,Joseph,Wilson,Wilson,1981-04-19,444-64-8391,,,," ",J44,,ectopic,,,Other,Coweta
2025GA000743,01/23/2025,Ashley,Jones,Miller,1944-11-13,864-98-1945,B2025GA007793,864-98-1945,01/23/2025,B,,,,,,Asian,Clayton
2025GA000575,01/24/2025,William,Garcia,Garcia,1982-11-08,974-78-5819,,,," ",J44,,eclampsia,,,Asian,Effingham
2025GA000753,01/25/2025,Elizabeth,Smith,Jones,1997-02-13,365-39-6930,B2025GA007803,365-39-6930,01/25/2025,B,,,,,,White,Fulton
